"Mes","Canarias-Cargadas","Canarias-Descargadas","Canarias-Tr치nsito","Nacional-Cargadas","Nacional-Descargadas","Nacional-Tr치nsito","UE-Cargadas","UE-Descargadas","UE-Tr치nsito","UE-Transbordos","Resto-Cargadas","Resto-Descargadas","Resto-Tr치nsito","Resto-Transbordos"
"2017-01",8686.17,35002.8,0,14568.31,4175.93,6.03,0,6.5,0,0,0,0,0,0
"2017-02",7955.92,29345.9,0,15754.3,5619.83,0,38.76,1249.41,0,0,0,26.24,0,0
"2017-03",9743.83,38899.33,0,21224.79,4875.63,0,7.66,90.72,0,0,0,183.8,0,0
"2017-04",7594.78,32015.12,0,18407.72,5146.58,0,0,57.06,0,0,0,19.02,0,0
"2017-05",8699.67,36346.16,0,21472.61,4598.05,0,0,55.61,0,0,0,114.7,0,0
"2017-06",9251.55,36919.35,0,19615.15,4897.21,0,0,75.3,0,0,0,34.05,0,0
"2017-07",8418.23,36337.8,0,17025.23,5775.5,0,4.5,159.06,0,0,0,183.77,0,0
"2017-08",9007.38,34002.69,0,18307.45,5442.75,0,53.83,773.2,0,0,1,116.15,0,0
"2017-09",8841.38,36959.87,0,21953.1,5897.34,0,0,111.67,0,0,0,0,0,0
"2017-10",8633.74,36044.49,0,19406.34,3658.46,0,35.21,82.27,0,0,0,126.06,0,0
"2017-11",9206.97,39939.21,0,19064.06,5307.43,18.7,8.23,111.38,0,0,0,331.86,0,0
"2017-12",8423.19,35951.95,0,17113.57,5120.26,0,3.29,140.7,0,0,0,97.99,0,0
"2018-01",9548.83,36174.87,0,18983.59,5172.54,0,28.02,55.38,0,0,0,32.91,0,0
"2018-02",7258.99,31579.65,0,16190.89,4301.41,410.79,24.04,1701.16,47.54,0,0,76.57,0,0
"2018-03",9015.66,37336.95,0,22094.42,5077.28,2730.39,8,142.96,0,0,10.82,23.95,0,0
"2018-04",9647.06,37411.11,0,20182.62,4526.8,2122.35,0,45.26,0,0,0,0,0,0
"2018-05",8884.82,38338.01,0,19285.57,5739.58,3294.69,28.11,849.81,5,0,0,0,0,0
"2018-06",8548.79,33783.85,80.5,18782.82,5603.36,2869.39,0,809.27,5,0,0,22.67,0,0
"2018-07",8821.43,35043.78,457.5,16424.91,5047.65,1690.15,4.5,627.68,9.4,0,0,24,0,0
"2018-08",9251.14,39836.59,333,18462.36,5240.41,2709.71,45,115.29,0,0,0,514.58,0,0
"2018-09",8648.31,32255.94,95,18893.85,5066.73,2726.71,6,184.81,0,0,0,130.09,0,0
"2018-10",8715.65,36957.61,327,19011.76,5008.8,2168.87,8,111.31,5.71,0,0,0,0,0
"2018-11",10049.23,34547.74,162,15733.03,4367.5,2917.51,8,112.16,5.71,0,0,12.12,0,0
"2018-12",9450.47,36978.27,74,15208.25,5858.23,3865.31,3.83,110.9,0,0,2.2,62.5,0,0
"2019-01",9374.1,37411.92,273.17,15355.71,3962.69,2631.22,0,644.19,14,0,0,89.21,0,0
"2019-02",9106.62,31784.59,103.5,14598.37,5624.59,2678.34,58.4,133.42,0,0,0,50.19,0,0
"2019-03",10484.16,41634.23,13,20208.21,6074.57,4220.13,68.75,93.44,0,0,0,280.61,0,0
"2019-04",8557.79,36786.69,80,17490.93,4712.75,2280.12,83.41,610.42,0,0,0,29.34,0,0
"2019-05",9893.97,37020.75,82,21239.2,5693.57,2967.17,48.33,56.7,0,0,0,313.45,0,0
"2019-06",9289.16,37718.59,0,20244.21,5855.29,2594.24,30.64,886.38,6.84,0,0.6,78.26,0,0
"2019-07",10660.7,36383.71,0,18259.19,4944.67,1824.09,15.14,58.77,0,0,0,14.38,0,0
"2019-08",10395.77,42623.29,46,19475.07,5011.87,2689.15,30.88,41.64,0,0,0,439.25,0,0
"2019-09",9149.97,35862.41,0,16136.02,4902.02,2718.5,81.7,31.87,0,0,0,424.35,0,0
"2019-10",9889.52,39537.39,0,17159.18,4564.31,2581.22,25.4,41.06,0,0,0,454.97,0,0
"2019-11",10383.38,38695.91,0,17757.42,5090.38,2859.56,0,148.49,0,0,0,233.33,0,0
"2019-12",9148.61,38423.27,0,15116.59,4892.61,2051.31,3.18,78.08,14.13,0,0,21.44,0,0
"2020-01",9987.4,43105.48,0,18792.83,3289.51,2790.84,55.84,75.73,0,0,0.41,69.17,0,0
"2020-02",9169.1,37293.84,0,17145.03,6400.01,5131.38,36.4,171.47,0,0,0,107.7,0,0
"2020-03",10758.81,36871.49,0,17833.54,3785.15,4904.17,74.94,37.92,0,0,0,525.43,0,0
"2020-04",8255.24,31182.85,0,20067.05,3790.81,113.91,21.4,51.89,0,0,0,11.95,0,0
"2020-05",10196.66,35184.49,0,22460.84,6808.51,0,0,34.71,0,0,0,0,0,0
"2020-06",10107.14,35938.28,0,19203.5,5629.25,0,97.44,871.79,0,0,0,0,0,0
"2020-07",11543.75,39347.47,0,20051.35,5629.9,0,70.97,68.49,0,0,0,50.83,0,0
"2020-08",10668.93,36578.51,0,17665.85,4621.31,0,40.14,41.07,0,0,0,0,0,0
"2020-09",10801.36,35850.05,1511.5,17067.64,5213.81,0,34.5,53.75,0,0,0,24.15,0,0
"2020-10",10742.63,36045.44,0,17478.86,5134.04,0,23.56,191.79,0,0,0,13.65,0,0
"2020-11",10122.43,34074.44,0,16113.23,4413.32,0,26.6,77.84,0,0,0,8.8,0,0
"2020-12",10790.57,37571.17,30,15045.64,4938.42,0,26.5,64.17,0,0,0,506.3,0,0
"2021-01",10050.67,34848.62,0,16015.55,4783.02,0,0,56.22,0,0,0,7.6,0,0
"2021-02",9865.38,34576.53,0,16864.09,6118.38,0,26.5,76.18,0,0,0,0,0,0
